Municipio;CONFIRMADO;SUSPEITO;DESCARTADO
Alta Floresta;;3;1
Alto Araguaia;;;
Alto Taquari;;;1
Apiac†s;;;
Araputanga;;1;3
Aren†polis;;;
Aripuan∆;;3;1
Bar∆o de Melgaáo;;1;
Barra do Garáas;;1;
C†ceres;;3;
Campo Novo Do Parecis;;6;
Campo Verde;;3;
Comodoro;;3;
Cotriguacu;;1;
Cuiab†;5;21;10
Diamantino;;;
Gloria D Oeste;;;3
Guarant∆ Do Norte;;1;
Guiratinga;;1;
Ipiranga Do Norte;;1;
Itiquira;;;
Juina;;2;
Juruena;;1;
Lucas do Rio Verde;;6;1
Matupa;;2;
Nn;;;
Nova Monte Verde;;1;
Nova Mutum;;1;2
Nova Olimpia;;1;
Nova Xavantina;;1;1
Novo Horizonte Do Norte;;1;
Paranatinga;;3;
Pedra Preta;;1;
Peixoto de Azevedo;;1;
Pontal do Araguaia;;;
Pontes e Lacerda;;2;1
Poxoreo;;1;
Primavera Do Leste;;5;1
Querencia;;;1
Rondolandia;;;
Rondonopolis;;17;1
Sao Jose do Rio Claro;;1;
Sao Jose Rio Claro;;2;
Sapezal;;2;
Sinop;;14;1
Sorriso;;1;1
Tabapora;;2;
Tangara da Serra;;13;1
Terra Nova do Norte;;1;
Varzea Grande;1;12;
Vila Bela Sta Trindande;;1;
