Municipio ;CONFIRMADO;SUSPEITO;DESCARTADO
µgua Boa;;1;
Alta Floresta;;5;1
Alto Araguaia;;;
Alto Taquari;;;1
Apiac†s;;;
Araputanga;;1;3
Aripuan∆;;4;1
Bar∆o de Melgaáo;;1;
Barra do Bugres;;2;
Barra do Garáas;;7;
Brasnorte;;5;
C†ceres;;2;
Campo Novo do Parecis;;10;
Campo Verde;;7;
Campos de J£lio;;1;
Castanheira;;3;
Col°der;;1;
Colniza;;;
Comodoro;;5;
Confresa;;1;
Cotriguaáu;;1;
Cuiab†;5;42;18
Diamantino;;;
Gl¢ria D'Oeste;;;2
Guarant∆ do Norte;;2;
Guiratinga;;1;
Ipiranga do Norte;;1;
Itiquira;;;
Juara;;1;
Ju°na;;2;
Juruena;;1;
Lucas do Rio Verde;;5;1
Vila Bela da Sant°ssima Trindade;;1;
Matup†;;3;
Nossa Senhora do Livramento;;1;
Nova Mutum;;3;1
Nova Ol°mpia;;1;
Nova Xavantina;;1;1
Novo Mundo;;1;
Parana°ta;;2;
Paranatinga;;7;
Pedra Preta;;3;
PoconÇ;;1;
Pontes e Lacerda;;6;
Porto Estrela;;1;
PoxorÇu;;1;
Primavera do Leste;;5;1
Querància;;1;
S∆o JosÇ do Rio Claro;;5;
RondolÉndia;;;
Rondon¢polis;;27;2
Ros†rio Oeste;;4;
Santo Antìnio do Leverger;;1;
Sapezal;;3;
Sinop;;22;2
Sorriso;;5;1
Tabapor∆;;2;
Tangar† da Serra;;16;1
Terra Nova do Norte;;1;
Uni∆o do Sul;;1;
V†rzea Grande;1;29;2
Vila Rica;;1;
Nova Monte Verde2;1;1;
